자치구,법정동,사업구분,진행단계,상태
용산구,한강로3가,재개발(도시정비형),조합설립인가,운영
강서구,공항동,지역주택,조합설립인가,운영
강서구,공항동,지역주택,조합설립인가,운영
강서구,공항동,지역주택,조합설립인가,운영
구로구,궁동,가로주택정비,조합설립인가,운영
영등포구,문래동,재개발(도시정비형),사업시행인가,운영
동작구,흑석동,재개발(주택정비형),관리처분인가,운영
중랑구,중화동,가로주택정비,조합설립인가,운영
중랑구,중화동,가로주택정비,조합설립인가,운영
성북구,하월곡동,소규모재건축,조합설립인가,운영
동대문구,장안동,재건축,조합설립인가,운영
서초구,잠원동,재건축,조합설립인가,운영
용산구,한강로3가,재개발(도시정비형),조합설립인가,운영
강남구,개포동,재건축,조합설립인가,운영
용산구,이촌동,재건축,조합설립추진위원회승인,운영
광진구,자양동,재건축,이전고시,운영
송파구,가락동,재건축,사업시행인가,운영
송파구,가락동,재건축,사업시행인가,운영
강남구,개포동,재건축,정비구역지정,운영
강남구,압구정동,재건축,조합설립인가,운영
송파구,송파동,재건축,사업시행인가,운영
강동구,상일동,가로주택정비,조합해산,운영
용산구,서빙고동,재건축,조합설립인가,운영
강동구,천호동,가로주택정비,조합해산,운영
마포구,망원동,재건축,조합해산,운영
동작구,흑석동,재개발(주택정비형),관리처분인가,운영
마포구,망원동,재건축,조합해산,운영
서초구,서초동,가로주택정비,조합설립인가,운영
서초구,잠원동,재건축,일반분양승인,운영
강남구,대치동,재건축,준공인가,운영
동대문구,장안동,가로주택정비,조합설립인가,운영
서초구,잠원동,재건축,조합설립인가,운영
강남구,대치동,재건축,착공신고,운영
동작구,동작동,재건축,착공신고,운영
서초구,잠원동,재건축,준공인가,운영
강동구,천호동,가로주택정비,조합설립인가,운영
서초구,양재동,가로주택정비,조합설립추진위원회승인,운영
송파구,마천동,재개발(주택정비형),관리처분인가,운영
강북구,미아동,재건축,조합해산,운영
동대문구,전농동,재개발(주택정비형),조합설립인가,운영
강동구,천호동,재건축,일반분양승인,운영
영등포구,당산동,재건축,조합설립인가,운영
은평구,구산동,재건축,조합해산,운영
